Supplier,Website,Email,Framework,Borough,Councils Named,Council Access Basis,Companies House No,Notice ID,Awarded Date,Contact Status,Notes,Check
Apolonia Property Services Ltd.,https://www.exodushousing.co.uk/,info@exodushousing.co.uk,Provision of Temporary Accommodation for people with No Recourse to Public Funds (NRPF),Barking and Dagenham,Barking and Dagenham,commissioning council only,,d936443c-bad8-4792-b949-8249186fb2a2,2023-06-03,web research (high),"Contracts Finder harvest: Rules 1-3: NRPF temporary accommodation, 5 suppliers; Trades as Exodus Housing: lettings/housing solutions and rented accommodation (CH 08752373, Ilford). The site names Apolonia.",
Elliot Leigh Property Management Ltd,https://www.elliotleigh.com/,info@elliotleigh.com,Provision of Temporary Accommodation for people with No Recourse to Public Funds (NRPF),Barking and Dagenham,Barking and Dagenham,commissioning council only,,d936443c-bad8-4792-b949-8249186fb2a2,2023-06-03,web research (high),"Contracts Finder harvest: Rules 1-3: NRPF temporary accommodation, 5 suppliers; Guaranteed-rent/temporary accommodation provider to local authorities, plus supported living for care leavers (Elliot Leigh TLC). CH 10984965, Ilford.",
Letting International Limited,https://lintgroup.com/,ilford@lintgroup.com,Provision of Temporary Accommodation for people with No Recourse to Public Funds (NRPF),Barking and Dagenham,Barking and Dagenham,commissioning council only,,d936443c-bad8-4792-b949-8249186fb2a2,2023-06-03,web research (medium),"Contracts Finder harvest: Rules 1-3: NRPF temporary accommodation, 5 suppliers; East London letting agent providing temporary housing to local authorities (CH 03425414, Ilford). Now trades as Lint Group; lettinginternational.com redirects there. The Ilford branch email is used because Ilford is the head office.",
VirCap Estates,https://vircapestates.co.uk/,enquiries@vircapestates.co.uk,Provision of Temporary Accommodation for people with No Recourse to Public Funds (NRPF),Barking and Dagenham,Barking and Dagenham,commissioning council only,,d936443c-bad8-4792-b949-8249186fb2a2,2023-06-03,web research (medium),"Contracts Finder harvest: Rules 1-3: NRPF temporary accommodation, 5 suppliers; Ilford estate/letting agent (Cranbrook Road) doing sales, lettings and portfolio management. Trading name; no matching Companies House entity found.",
Accedo Care,http://www.accedogroup.org.uk/,hello@accedogroup.org.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Autism Sussex,https://www.aspens.org.uk/,enquiries@aspens.org.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,web research (medium),"autismsussex.org.uk now redirects to Aspens Charities; previous data pointed at Amaze Sussex, a different organisation",
Barnet Mencap,http://www.barnetmencap.org.uk/,projectsupport@barnetmencap.org.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Brunswick Supported Living,https://bsls.uk.com/,contact@bsls.uk.com,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,web research (high),"Existing values correct: bsls = Brunswick Supported Living Services, Highstone House, 165 High Street, Barnet EN5.","homecare and housing both on homepage (homecare 3, housing 18)"
CareTech Community Services Limited,https://www.caretech-uk.com,info@caretech-uk.com,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Consensus Support Services Ltd,https://consensussupport.com/,enquiries@consensussupport.com,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,web research (high),Existing email correct; website changed from a Google My Business location URL to the homepage. Contact page also lists referrals@consensussupport.com.,
Creative Support Ltd,https://www.creativesupport.co.uk,enquiries@creativesupport.co.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Dimensions (UK) Ltd,https://dimensions-uk.org/,enquiries@dimensions-uk.org,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Fortis Care,http://www.fortiscare.co.uk/,contact@fortiscare.co.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Genesis Housing Association,http://www.nhg.org.uk/,info@nhg.org.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,web research (high),Existing values kept: Genesis Housing Association merged with Notting Hill Housing in 2018 to form Notting Hill Genesis (NHG). info@nhg.org.uk is on the NHG contact page.,
Glenholme Healthcare Group,https://www.glenholme.org.uk/holdingham-grange/,holdingham@glenholme.org.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Grange (Whitefield) Care Services,http://grangewhitefieldcare.com/,admin@grangewhitefieldcare.com,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,"homecare and housing both on homepage (homecare 6, housing 8)"
HFT,https://www.hft.org.uk,hello@hft.org.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
KeyRing Living Support Networks,https://www.keyring.org,keyring@keyring.org,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Kisharon,https://www.kisharonschool.org.uk/,office@kisharonschool.org.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Langdon Community,https://kisharonlangdon.org.uk/,info@kisharonlangdon.org.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,web research (high),Langdon merged with Kisharon to form Kisharon Langdon; langdonuk.org 301-redirects to kisharonlangdon.org.uk. The existing email is correct and appears on the contact page.,
Lifeways Community Care Limited,https://www.lifeways.co.uk,LWSreferrals@Lifeways.co.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
MidCo Care Limited,http://www.midco-care.co.uk/,info@midco-care.co.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,"homecare and housing both on homepage (homecare 12, housing 18)"
Norwood,https://norwood.org.uk/,info@norwood.org.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
One Housing Group,https://www.riverside.org.uk/,info@riverside.org.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,web research (medium),One Housing merged into Riverside; same details as other One Housing rows,
Onecare UK,http://www.onecare-uk.com/,info@onecare-uk.com,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,Homecare provider that also offers supported living/accommodation
Origin Housing Ltd,https://placesforpeople.co.uk/origin,No email or contact form found on website,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,web research (medium),"Origin Housing transferred its engagements to Places for People Living+ on 1 Apr 2026; originhousing.org.uk 301-redirects to the Places for People Origin page. The existing email (customerservice@rmguk.com) is only for residents managed by the agent RMG, not a general contact, so it was removed.",
Richmond Fellowship,https://www.richmondfellowship.org.uk,enquiries@richmondfellowship.org.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
Royal National Mencap Society,http://www.mencap.org.uk/,information@mencap.org.uk,Accommodation and Support for Adults,Barnet,Barnet,Commissioning council only - no participating authorities named in the notice,,MT197433,31/03/2017,verified (existing data),,
