Supplier,Website,Email,Framework,Borough,Councils Named,Council Access Basis,Companies House No,Notice ID,Awarded Date,Contact Status,Notes,Check
Queen Alexandra College,,,Supported Living Care and Support - Call-Off from BMC1227 Framework -Awarded to Queen Alexandra College,EAST RIDING OF YORKSHIRE COUNCIL,EAST RIDING OF YORKSHIRE COUNCIL,commissioning council only,,ocds-b5fd17-58005555-4ab4-459b-bbf2-d4989417bd0c,01/06/2026,unenriched (from contractsfinder),https://www.contractsfinder.service.gov.uk/Notice/bdf1a742-d04f-4f49-8844-53b7ce957ec0-900010,
Phoenix Lodge Coventry Limited,,,COV - Supported Living for Adults Framework (DPS) - Call Off against lot A3 - 31/12/25 - 25027,COVENTRY CITY COUNCIL,COVENTRY CITY COUNCIL,commissioning council only,,ocds-b5fd17-98338d77-9b1c-44cc-badd-899ce09af5f4,02/03/2026,unenriched (from contractsfinder),https://www.contractsfinder.service.gov.uk/Notice/857637e2-7e11-4914-a20e-261299097def-899494,
Active,,,EMP for Supported Living Services Further Competitions Awarded on Lot 1 Qtr 4 2025/2026,Kirklees Council,Kirklees Council,commissioning council only,,ocds-b5fd17-f099d668-550b-480b-96bd-da9f1e09c6a8,31/12/2025,unenriched (from contractsfinder),https://www.contractsfinder.service.gov.uk/Notice/ff24a8b2-6f7b-4d73-bcbc-6e228d6c71df-897435,
Amethyst,,,EMP for Supported Living Services Further Competitions Awarded on Lot 1 Qtr 4 2025/2026,Kirklees Council,Kirklees Council,commissioning council only,,ocds-b5fd17-f099d668-550b-480b-96bd-da9f1e09c6a8,31/12/2025,unenriched (from contractsfinder),https://www.contractsfinder.service.gov.uk/Notice/ff24a8b2-6f7b-4d73-bcbc-6e228d6c71df-897435,
Care Angels (Batley),,,EMP for Supported Living Services Further Competitions Awarded on Lot 1 Qtr 4 2025/2026,Kirklees Council,Kirklees Council,commissioning council only,,ocds-b5fd17-f099d668-550b-480b-96bd-da9f1e09c6a8,31/12/2025,unenriched (from contractsfinder),https://www.contractsfinder.service.gov.uk/Notice/ff24a8b2-6f7b-4d73-bcbc-6e228d6c71df-897435,
Choices,,,EMP for Supported Living Services Further Competitions Awarded on Lot 1 Qtr 4 2025/2026,Kirklees Council,Kirklees Council,commissioning council only,,ocds-b5fd17-f099d668-550b-480b-96bd-da9f1e09c6a8,31/12/2025,unenriched (from contractsfinder),https://www.contractsfinder.service.gov.uk/Notice/ff24a8b2-6f7b-4d73-bcbc-6e228d6c71df-897435,
Compass Care Homes,,,EMP for Supported Living Services Further Competitions Awarded on Lot 1 Qtr 4 2025/2026,Kirklees Council,Kirklees Council,commissioning council only,,ocds-b5fd17-f099d668-550b-480b-96bd-da9f1e09c6a8,31/12/2025,unenriched (from contractsfinder),https://www.contractsfinder.service.gov.uk/Notice/ff24a8b2-6f7b-4d73-bcbc-6e228d6c71df-897435,
Connections Care,,,EMP for Supported Living Services Further Competitions Awarded on Lot 1 Qtr 4 2025/2026,Kirklees Council,Kirklees Council,commissioning council only,,ocds-b5fd17-f099d668-550b-480b-96bd-da9f1e09c6a8,31/12/2025,unenriched (from contractsfinder),https://www.contractsfinder.service.gov.uk/Notice/ff24a8b2-6f7b-4d73-bcbc-6e228d6c71df-897435,
Safe Families for Children,,,TD2331 - Family Based Community Support service to help families and care leavers who may have multiple or complex needs,DERBY CITY COUNCIL,DERBY CITY COUNCIL,commissioning council only,,ocds-b5fd17-1405fd53-9ece-4d60-af27-67266c11b566,15/05/2026,unenriched (from contractsfinder),https://www.contractsfinder.service.gov.uk/Notice/6e7b943b-d700-48e9-b61f-b7115cc7ee65-896937,
Perk UK Ltd,,,Interim and Temporary Accommodation,Liverpool City Council,Liverpool City Council,commissioning council only,,ocds-b5fd17-f309c9ff-a882-4a41-89dc-8d5e53feef74,26/03/2026,unenriched (from contractsfinder),https://www.contractsfinder.service.gov.uk/Notice/bf43b534-f24f-4894-a6f7-77674c88c569-897014,
