name,website,email,primary_category,tier,in_network,total_contracts
123 supported accommodation,https://www.123supportedaccommodation.co.uk/,info@123supportedaccommodation.co.uk,Supported living,Local,,1
A38 Woodlands,http://www.a38woodlands.com/,,Emergency accommodation,Local,,1
Aegis Homes,https://www.aegiscaresolutions.co.uk/about-1,admin@aegiscaresolutions.co.uk,Supported accommodation,Local,,1
Aleyah House,https://www.aleyahhousing.co.uk/,info@aleyahousing.co.uk,Supported living,Local,,8
Allied Ventures Ltd (T/A Fairrooms),https://d3tenders.com/contract/?ocid=ocds-b5fd17-bc81e4c4-8552-49bb-89be-dc865987c2a8,hello@d3tenders.com,Emergency accommodation,Local,,1
angels abode,http://www.abode.ltd.uk/site/go/contactUs,,Emergency accommodation,Local,,1
Anvil House,https://www.anvilhousesupportprovider.co.uk/,,Supported living,Local,,2
Arch North Staffordshire,https://www.iwm.org.uk/memorials/item/memorial/13561,,Supported accommodation,Local,,1
Aspire Children Services,https://aspirecs.co.uk/,info@aspirecc.co.uk,Supported accommodation,Local,,1
Atlantic Lodge,http://www.atlantic-housing.com/,tas@atlantic-housing.com,Supported living,Local,,1
Autonomy Healthcare Limited,https://autonomyhealthcare.co.uk/phone/index.html,office@autonomyhealthcare.co.uk,Emergency accommodation,Local,,1
Baca,https://www.baca-uk.org.uk/,office@baca-uk.org.uk,Supported accommodation,Regional,,3
Barnardo's Central  Region,https://www.barnardos.org.uk/get-involved/campaign-with-us/westminster/constituency-map,,Emergency accommodation,Regional,,2
Beckford Homes,https://www.beckfordhomesltd.com,management.beckfordhomes@gmail.com,Supported living,Regional,,1
Better Oasis,https://betteroasis.co.uk,info@betteroasis.co.uk,Supported living,Regional,,1
Bexletts Ltd,https://bexley.cylex-uk.co.uk/company/bexletts-19305031.html,,Emergency accommodation,Local,,1
Birchwood Independece Ltd,https://birchwoodsw.co.uk/,info@birchwoodsw.co.uk,Supported living,Local,,1
Birkenhead Forum Housing Association Ltd,https://forumhousing.co.uk/,,Supported living,Local,,2
Blossom24 Healthcare & Training Ltd,https://blossom24careandtraining.com/,Info@Blossom24careandtraining.com,Supported living,Local,,3
Brainerd Limited,https://www.carechoices.co.uk/care-location/brainerd-limited-domiciliary-care-service-in-lancing-west-sussex/,,Supported living,Regional,,1
Break,https://ayrshirebreaks.com/,office@break-charity.org,Supported accommodation,Local,,2
Bridges Outcomes Partnership (BOP),https://bridgesoutcomespartnerships.org/,,Asylum housing,Local,,1
Bright Avenues Limited,https://www.brightavenue.co/,rachel@brightavenue.co,Supported living,Regional,,1
Budwood Limited,https://www.budwood.org.uk/,office@budwood.org.uk,Asylum housing,Local,,1
C We R Here CIC,https://www.cwerhere.co.uk/,,Emergency accommodation,Local,,1
Canley,https://www.canleyclassics.com/,,Emergency accommodation,Local,,1
Care Direct 24 Limited,http://caredirect24.uk/,info@caredirect24.uk,Supported living,Local,,2
Care Taylormade,https://taylormade-care.com/,info@taylormade-care.com,Supported living,Local,,2
Care4life Healthcare Service,https://www.care4lifehealthcare.co.uk/,admin@care4lifehealthcare.co.uk,Supported accommodation,Local,,1
Causeway Irish,https://www.irishcauseway.org.uk/,,Supported accommodation,Local,,1
Cedarfoss Homes LTD,https://www.elder.org/care-homes/england/yorkshire-and-the-humber/kingston-upon-hull/lake-view-manor/,hello@elder.org,Supported living,Local,,1
"Change, Grow, Live Services Limited",https://www.changegrowlive.org/,,Supported accommodation,Local,,1
Changing Lives,https://www.changing-lives.org.uk/,central.office@changing-lives.org.uk,Supported accommodation,Local,,2
Clay Housing Ltd,https://clay-life.com/,hello@clay-life.com,Supported accommodation,Local,,1
Commit2Care Services Ltd (CQC Registered Non Enhanced and Enhanc,http://commit2careservices.co.uk/,,Supported living,Local,,1
Community Homes of Intensive Care and Education (CHOICE) Limited,https://www.choicecaregroup.com/accessing-support/about-us/,familysupport@choicecaregroup.com,Supported living,Local,,1
Consultancy4you,https://www.londonconsultancy4you.co.uk/,,Emergency accommodation,Local,,1
Copper Beach,https://copper-beech.inn.fan/,,Emergency accommodation,Local,,1
Cranmead Ltd,https://cranmead.com/,office@cranmead.com,Supported accommodation,Local,,1
Custodian Group Ltd,https://thecustodian.uk/,info@thecustodian.uk,Emergency accommodation,Local,,1
Dace Property Ltd,https://wdbproperty.co.uk/,mail@wdbproperty.co.uk,Emergency accommodation,Local,,1
Deuvick,https://deuvickintl.com/our-homes/,,Supported accommodation,Local,,1
Dunborne Ltd,https://www.dunborne.co.uk/,,Supported living,Local,,1
ExeChanges Limited,https://www.exechanges.co.uk/,info@exechanges.co.uk,Supported living,Local,,1
Fazz Ltd,https://fazz.com/,,Supported living,Local,,2
FitzRoy,https://fitzroy.org/,,Supported living,Regional,,4
Florinee Homes Ltd,http://www.florineehomes.co.uk/,,Supported accommodation,Local,,1
Francis House Ltd,https://www.francishouse.org.uk/francis-house-families-limited/,dermot.murphy@francishouse.org.uk,Emergency accommodation,Local,,1
Freshstart Care Solutions Ltd,https://www.freshstartcaresolutions.com/,,Supported living,Local,,1
Fsip,https://shop.fsip.biz/,,Supported living,Local,,1
FSIP Whiterose Ltd,http://fsipwhiterose.co.uk/,info@okredo.lt,Supported accommodation,Local,,1
Future Directions Community Interest Company,https://futuredirectionscic.co.uk/,info@futuredirectionscic.co.uk,Supported living,Local,,2
GDA,http://www.roosacademyofperformingarts.co.uk/,roosacademy@btinternet.com,Supported living,Local,,5
Godfrey Barnes Care Ltd,https://godfreycare.co.uk/,info@godfreycare.co.uk,Emergency accommodation,Local,,1
Godfrey Barnes Healthcare LLP,https://godfreycare.co.uk/,info@godfreycare.co.uk,Emergency accommodation,Local,,1
Goldthorn Lodge Limited,https://www.elder.org/care-homes/england/west-midlands/wolverhampton/goldthorn-lodge/,hello@elder.org,Supported living,Local,,1
Grafton Merchanting GB Limited,https://www.graftonmerchantinggb.co.uk/,,Emergency accommodation,Regional,,1
GreenSquareAccord Limited (Sandwell),https://greensquareaccord.co.uk/,info@greensquareaccord.co.uk,Supported accommodation,Local,,1
H I C A- Raleigh,https://www.amazon.co.uk/Hic-Jacet-Raleigh-1552-1618-Elizabethan/dp/0955991242,eu-privacy@amazon.co.uk,Supported living,Local,,1
Hanningtons Parnership,https://gcw.co.uk/insight/new-arrival-at-brightons-hanningtons-estate,callum.stephenson@gcw.co.uk,Emergency accommodation,Local,,1
Heaton Group,https://www.heatongroup.co.uk/,,Emergency housing,Local,,1
Hennessy Living Group Limited,https://hennessygroup.co.uk/,info@hennessygroup.co.uk,Supported living,Local,,1
HFT2 (CQC Registered Non Enhanced and Enhanced),https://www.hft.org.uk/our-services/quality-improvement-team/,media.enquiries@hft.org.uk,Supported living,Local,,1
Hillbrook House,https://www.hiltonbrookhouse.co.uk/,,Emergency accommodation,Local,,1
Hillcrest Childrens Services (2) Limited,https://hillcrest.org.uk/contact-us/,customerservice@hillcrest.org.uk,Emergency accommodation,Local,,1
Holistic Semi-Independent,http://innerlightholistics.co.uk/,Michele@innerlightholistics.co.uk,Supported living,Local,,1
Hopespring Newcastle,https://hopespringeducation.org/,,Supported accommodation,Local,,1
Housing 21,https://www.housing21.org.uk/,enquiries@housing21.org.uk,Supported accommodation,Regional,,3
iAspire Care Services Ltd,http://www.iaspire.co.uk/,hr@iaspire.co.uk,Supported accommodation,Regional,,2
Include in Autism,https://www.includeinautism.org.uk/,information@includeinautism.org.uk,Supported living,Local,,3
Indie 16 Ltd,https://indie16.org/,info@indie16.org,Supported living,Regional,,2
Infrastructure Development Group Limited T/A IDG Care,https://www.idgcare.com/,info@idgcare.com,Supported living,Local,,1
Innovations in Care Limited,http://childhinnovations.com/,Nell@childhinnovations.com,Supported living,Local,,1
Inspirations Leicestershire Ltd,https://inspirations-oadby.co.uk/,,Emergency accommodation,Local,,1
IOMI Supported Living Ltd,https://www.carechoices.co.uk/care-location/iomi-support-and-care-services-in-luton/,,Supported living,Local,,2
Isabellas Homes Limited,https://www.houseofisabella.co.uk/,info@houseofisabella.co.uk,Supported living,Local,,1
Joyeux Homes Limited,https://www.consolidate.org.uk/database/entities/d0bf163c-2c56-401d-adf4-ff1c7cfe7161,will@consolidate.org.uk,Supported accommodation,Local,,1
Just ONE,https://br.bluepillow.com/search/67a229f25a2dfa15b1813405?dest=bkng&cat=House&lat=51.47702&lng=-2.59197&language=pt,,Supported living,Regional,,3
Kedleston (Wood Grove Childcare) Limited T/a Kedlestone (Wings),https://www.kedlestongroup.com/schools/wings-school-notts/,,Emergency accommodation,Local,,1
Key2care t/a Derbyshire Care Services (CQC Registered Non Enhanc,https://key2care.co.uk/,info@key2care.co.uk,Supported living,Local,,1
Keyhouse,https://www.key.org.uk/,,Supported living,Local,,2
Kisimul Group Ltd,https://www.kisimul.co.uk/,enquiries@kisimul.co.uk,Supported living,Local,,2
Learning Disability Network London (LDN London),https://ldnlondon.org/,hello@ldnlondon.org,Supported living,Local,,1
Legacy Supported Living Ltd.,https://www.careservices.org.uk/legacy-supported-living-kettering,webmaster@careservices.org.uk,Supported living,Local,,2
LG Caring,https://www.lgcaring.com/,info@lgcaring.com,Supported living,Local,,2
Lifeways Paragon Ltd,https://lifeways.co.uk/,,Supported living,Local,,1
LLyon Health,http://www.llyonhealth.com/,info@llyonhealth.com,Supported living,Local,,2
Lodge House 20 Limited,https://www.lodgeparkhomes.co.uk/,,Emergency accommodation,Local,,1
Lot 1 Greenbrook,https://www.togetherhousing.co.uk/find-a-home/extra-care/lancashire/greenbrook-house/,,Emergency accommodation,Local,,1
Lot 2 - Brookside - ICare (GB) Ltd,https://icaregroup.co.uk/,info@icaregroup.co.uk,Emergency accommodation,Local,,1
Lukka Homes,https://lukkahomes.com/,info@lukkahomes.com,Emergency accommodation,Local,,1
Mango House Care Ltd,http://mangohomes.co.uk/,,Supported living,Local,,2
Marbury Healthcare Ltd - Procurement,http://www.marrprocurement.com/,enquiries@marrprocurement.com,Supported accommodation,Local,,1
Megakare Ltd  TA Visiting Angels East Suffolk,https://www.megakare.com/,info@megakare.com,Supported accommodation,Local,,1
Merryvale Semi-Independent Limited,https://caseboard.io/cases/c6eb2bd8-1e31-4ed5-b392-27ef27c59443,,Supported accommodation,Local,,1
Milestone Care Group Ltd,http://milestonehealthcare.co.uk/,,Supported living,Local,,1
Millbrook Healthcare Ltd,https://www.millbrookhealthcare.co.uk/,enquiries@millbrookhealthcare.co.uk,Emergency housing,Local,,1
Millpond Housing Ltd,https://www.stepnell.co.uk/services/construction/millpond-house-opens-in-kidderminster/,info@stepnell.co.uk,Emergency accommodation,Local,,1
More Energy Care Services Ltd,https://mecsltd.co.uk/,info@mecsltd.co.uk,Supported living,Local,,1
Moving On Care Management Ltd,https://www.movingonltd.com/,info@movingonltd.com,Supported accommodation,Regional,,2
Moving Up Care Limited,https://movingupcare.com/,enquiries@movingupcare.com,Supported living,Regional,,5
MovingUp Care Ltd,https://movingupcare.com/,enquiries@movingupcare.com,Supported accommodation,Local,,1
Mower's Ark CIC,https://mowersarkcic.co.uk/,directors@mowersarkcic.co.uk,Supported living,Local,,2
My Life Semi-independent Project Limited,https://www.mylife.uk.net/,admin@mylife.uk.net,Supported accommodation,Regional,,1
My Place (Yorkshire) Ltd,https://www.consolidate.org.uk/database/entities/9aef83f0-8f51-4430-8024-0577e92bebb8,will@consolidate.org.uk,Supported living,Local,,1
Naid Care Limited,https://naidcare.co.uk/new/,,Supported living,Local,,2
Nanda Swamy / Dr Swamy - Lauriestone House,https://www.bajajconsumercare.com/pdf/unpaid-dividend/unpaid-dividend-register-as-on-15-07-2019.pdf,,Emergency accommodation,Local,,1
Nelbro Group,https://www.mapquest.com/gb/england/nelbro-group-limited-507107266,,Supported living,Local,,1
New Concept Properties,https://newconceptproperties.com/owners/,info@newconceptproperties.com,Emergency housing,Local,,1
New Walk CIC,https://www.newwalkcic.co.uk/,reception@newwalkcic.co.uk,Supported living,Local,,1
Next Stage 'A Way Forward' Youth Development Ltd,https://nextstageawf.co.uk/,,Supported living,Local,,1
Next Step Independence Ltd,http://www.nextstepindependence.co.uk/,info@nextstepindependence.co.uk,Asylum housing,Local,,1
None awarded  due to discontinuation of procedure,https://cms.law/en/int/expert-guides/cms-expert-guide-to-dismissals/united-kingdom,,Supported living,Local,,1
Nook Residential Limited,https://nookres.com.au/,,Supported living,Local,,1
North East Specialist Therapeutic Services CIC,https://www.icha.org.uk/location/north-east-specialist-therapeutic-services,info@icha.org.uk,Supported accommodation,Local,,1
North East Supported Tenancies (NEST),https://www.nestcare.uk/,karliseeds@nestcare.uk,Supported accommodation,Local,,1
Northern Community Pathway Childrens Residential Services Ltd,https://www.ncpl.co.uk/,info@ncpl.co.uk,Supported living,Local,,1
Norwood,https://norwood.org.uk/,info@norwood.org.uk,Supported living,Local,,1
Not awarded,https://www.merriam-webster.com/dictionary/unawarded,,Supported living,Regional,,2
Official Care Ltd,https://www.companywall.co.uk/business/official-care-limited/MMx3eaJ0C/basic-info,info@companywall.co.uk,Supported accommodation,Local,,1
Onward Path Care,https://www.onward.co.uk/,,Supported accommodation,Local,,1
Optima Care,https://optimacarehomes.co.uk/,,Supported living,Regional,,1
Orion Care Solutions Limited,https://www.orionhealthcare.co.uk/,enquiries@orionhealthcare.co.uk,Supported living,Local,,1
Pathfinder Care Services,https://www.pathfinderscareservices.org/,,Supported living,Local,,1
PayPoint Network Ltd,http://www.paypoint.com/,enquiries@paypoint.com,Emergency accommodation,Local,,1
Peabody South East Limited,https://www.peabody.org.uk/,,Supported accommodation,Local,,1
Personal Security Service Ltd  T/a PSS Care Group,https://www.psssecuretransport.co.uk/,info@psssecuretransport.co.uk,Emergency accommodation,Local,,1
Please Note This Expression of Interest Resulted in Non Award.,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/expression-of-interest/submitting-your-expression-of-interest,,Emergency housing,Local,,1
Please Note This Tender Resulted in Non Award.,https://www.executivecompass.co.uk/blog/bid-management/challenging-an-outcome/,info@executivecompass.co.uk,Supported accommodation,Local,,1
Prestige Accommodation Ltd,http://www.prestigeaccommodation.co.uk/,info@prestigeaccommodation.co.uk,Supported accommodation,Local,,1
Prof-care Limited,http://www.prof-care.com/,info@prof-care.com,Supported living,Local,,2
Promote Ability Community Enterprise,https://collab365.com/,hello@collab365.com,Supported accommodation,Local,,1
PSA Care Ltd,http://psacare.co.uk/,,Supported living,Local,,1
Residential Group,https://www.residentialgroup.org/,,Supported accommodation,Local,,1
Rethink,https://www.rethinkuw.com/,,Supported accommodation,Regional,,4
Reymc 247 (pvt) Limited,https://www.royalcarehealth.co.uk/,info@royalcarehealth.co.uk,Supported living,Local,,2
Right to Care Ltd,http://www.righttocare.co.uk/,,Supported living,Local,,1
Rodor Holdings Ltd,https://tinytax.co.uk/company/rodor-inc-holdings-08405126,,Supported accommodation,Local,,1
Rose villa,https://www.rosevillaresidentialltd.com/,,Supported living,Local,,2
"Sai-pac (on behalf of Sphere Professional UK Ltd, a member of Sp",http://www.saipac.com/,sales@saipac.com,Emergency accommodation,Regional,,1
Select Care Solutions Ltd,http://www.selectcareservices.co.uk/contact.html,,Supported living,Local,,1
Sheffield Young Womens Christian Association t/a  YWCA Yorkshire,https://www.ywcayorkshire.org.uk/sheffield,beverly.garbett@ywcayorkshire.org.uk,Supported accommodation,Local,,1
Springvale Lodge,https://www.springvalecare.com/,info@springvalecare.com,Emergency accommodation,Local,,1
Squared,https://www.piliapp.com/symbols/squared/,,Supported living,Local,,1
SSI Schaefer Ltd,http://www.ssi-schaefer.com/en-gb,info.uk@ssi-schaefer.com,Emergency accommodation,Regional,,1
STBI Ltd,https://sbtiservices.com/,,Supported living,Local,,2
Streetz Ahead Housing,http://www.streetzahead.co.uk/,,Supported accommodation,Local,,1
Sublime Care Solutions Ltd,https://www.sublimecaresolutionlimited.co.uk/,info@sublimecaresolutionlimited.co.uk,Supported accommodation,Local,,1
Sunny Lodge,https://sonya-lodge.nellsar.com/,,Emergency accommodation,Local,,1
Swanswell,https://www.swanswell.org/,,Supported living,Local,,1
Tebmar ltd,https://hillcresthome.co.uk/contact-us/,enquiries@hillcresthome.co.uk,Supported living,Local,,2
Tempus Housing,https://tempushouse.co.uk/,,Supported living,Local,,1
TESGL Ltd T/A SSE Energy Solutions,https://www.sseenergysolutions.co.uk/distributed-energy-infrastructure/our-solutions/smart-buildings,,Emergency accommodation,Regional,,1
Tess cic,https://tess-cic.org.uk/,info@tess-cic.org.uk,Supported living,Local,,2
The Barnet Group,https://thebarnetgroup.org/,info@thebarnetgroup.org,Supported living,Local,,1
The Housing Network,https://thehousingnetwork.co.uk/,office@thehousingnetwork.co.uk,Supported accommodation,Regional,,6
Tigerlily Healthcare Limited,https://tigerlilycare.co.uk/,info@tigerlilycare.co.uk,Supported living,Local,,2
Top Drawer Properties Ltd,https://tracxn.com/d/legal-entities/united-kingdom/top-drawer-properties-limited/__S8873JCQCNXzKQ90LpStXhctmgpwCFLeIjoLzRWLjKE,hi@tracxn.com,Emergency accommodation,Local,,1
Town Centre Accommodation and Support Ltd,https://accommodationcentre.co.uk/,mail@accommodationcentre.co.uk,Supported accommodation,Local,,1
Ultimate Care & Support Services Ltd.,https://ucss.co.uk/,info@ucss.co.uk,Supported accommodation,Local,,1
Valicity Care Services Ltd,https://valicity.co.uk/,hello@valicity.co.uk,Supported living,Regional,,1
Vital Healthcare Services Limited,http://www.vitalhealthcare.co.uk/,info@vitalhealthcare.co.uk,Supported living,Regional,,3
VLS Care,https://www.carechoices.co.uk/care-location/vls-care-in-halifax/,,Supported living,Local,,2
Walsingham,https://www.walsingham.org.uk/,,Supported living,Regional,,4
Warwickshire Living Ltd,http://www.warwickshireliving.co.uk/,info@warwickshireliving.co.uk,Supported living,Local,,1
Weir & Carmichael Ltd,https://www.weirbags.co.uk/,,Emergency accommodation,Regional,,1
Westward Hoe,http://www.visitwestwardho.co.uk/,peter@visitwestwardho.co.uk,Emergency housing,Local,,1
YANA Supported Living Services,http://yanasupport.co.uk/,,Supported living,Local,,1
Yasin  Homes,https://yasinhomesltd.co.uk/,,Emergency accommodation,Local,,1
Yeovil/Belvedere Gusethouses (Adfan Ltd),https://belvedere-guesthouse.co.uk/about.php,info@belvedere-guesthouse.co.uk,Emergency accommodation,Local,,1
YMCA  Surbiton at (St Paul's Group),https://ymcastpaulsgroup.org/ymca-surbiton/,,Emergency accommodation,Local,,1
YS Services LTD operating as Embracing Care,https://embracingcare.co.uk/,,Supported living,Local,,1
