company_name,domain,website_url,email,phone,primary_category,sectors,in_network,total_contracts,councils_count,councils_top,regions,tier_hint
Creative Support,creativesupport.co.uk,https://www.creativesupport.co.uk,housing.complaints@creativesupport.co.uk,0161 236 0829,Supported living,Community accommodation | Emergency accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,35,46,Bradford Metropolitan District Council | South Tyneside Council | City of Bradford Metropolitan District Council | North East Lincolnshire Council | Redcar & Cleveland Borough Council,East Midlands | East of England | London | North East | North West | South East | West Midlands | Yorkshire & The Humber,National
Royal Mencap Society,mencap.org.uk,https://www.mencap.org.uk,information@mencap.org.uk,020 7454 0454,Supported living,Community accommodation | Emergency accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,24,39,Bradford Metropolitan District Council | South Tyneside Council | Warwickshire County Council | Sheffield City Council | The Royal Borough of Kingston upon Thames,East Midlands | East of England | London | National | North East | North West | South East | South West | West Midlands | Yorkshire & The Humber,National
Lifeways Community Care,lifeways.co.uk,https://www.lifeways.co.uk,LWSreferrals@Lifeways.co.uk,0207 202 6300,Supported living,Homecare | Housing | Supported accommodation | Supported living,yes,23,31,Bradford Metropolitan District Council | South Tyneside Council | Sheffield City Council | The Royal Borough of Kingston upon Thames | City of Bradford Metropolitan District Council,East Midlands | East of England | London | North East | North West | South East | South West | West Midlands | Yorkshire & The Humber,National
Home Group,homegroup.org.uk,https://www.homegroup.org.uk,procurement@homegroup.org.uk,0345 141 4663,Supported living,Asylum housing | Community accommodation | Emergency accommodation | Emergency housing | Homecare | Housing | Supported accommodation | Supported living,yes,21,24,Kirklees Council | Redcar & Cleveland Borough Council | Bradford Metropolitan District Council | Newcastle City Council | Gloucestershire County Council,East Midlands | East of England | North East | North West | South East | South West | West Midlands | Yorkshire & The Humber,National
Affinity Trust,affinitytrust.org,https://www.affinitytrust.org,info@affinitytrust.org,01844 267816,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,18,25,Bradford Metropolitan District Council | Sheffield City Council | City of Bradford Metropolitan District Council | Calderdale Council | Leicester City Council,East Midlands | East of England | North East | North West | South East | South West | West Midlands | Yorkshire & The Humber,National
Caretech,caretech-uk.com,https://www.caretech-uk.com,info@caretech-uk.com,01707 601800,Supported living,Housing | Supported living,yes,14,1,Kirklees Council,Yorkshire & The Humber,Local
People Potential Possibilities,p3charity.org,https://www.p3charity.org,info@p3charity.org,0115 970 3581,Supported living,Asylum housing | Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation | Supported living,yes,11,10,Gloucestershire County Council | Milton Keynes Council | Suffolk County Council | Cheshire East Council | Wokingham Borough Council,East Midlands | East of England | North West | South East | South West | West Midlands,National
Dimensions,dimensions-uk.org,https://www.dimensions-uk.org,enquiries@dimensions-uk.org,0300 303 9001,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,8,22,Sheffield City Council | Calderdale Council | Luton Council | South Tyneside Council | Wolverhampton City Council,East Midlands | East of England | London | National | North East | North West | South East | South West | West Midlands | Yorkshire & The Humber,National
Thera Trust,thera.co.uk,https://www.thera.co.uk,enquiries@thera.co.uk,01476 591936,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,8,9,Cambridgeshire County Council | Bradford Metropolitan District Council | Sheffield City Council | Bolton Council | Derbyshire County Council,East Midlands | East of England | North East | North West | South East | West Midlands | Yorkshire & The Humber,National
Choice Support,choicesupport.org.uk,https://www.choicesupport.org.uk,info@choicesupport.org.uk,020 7378 6161,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,8,14,Sheffield City Council | Essex County Council | In-tend Limited | Hertfordshire County Council | Hertfordshire County Council  - Adult Care Services,East Midlands | East of England | London | National | South East | Yorkshire & The Humber,Regional
The Riverside Group,riverside.org.uk,https://www.riverside.org.uk,development@riverside.org.uk,0345 111 0000,Supported living,Adults | Asylum housing | Community accommodation | Emergency accommodation | Emergency housing | Homecare | Housing | Mental health supported accommodation,yes,8,15,Kirklees Council | Gloucestershire County Council | Derby City Council | Suffolk County Council | Wigan Council,East Midlands | East of England | London | North East | North West | South West | Yorkshire & The Humber,National
Richmond Fellowship,richmondfellowship.org.uk,https://www.richmondfellowship.org.uk,enquiries@richmondfellowship.org.uk,020 8748 4747,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,8,8,Redcar & Cleveland Borough Council | Bradford Metropolitan District Council | Darlington Borough Council | Suffolk County Council | Durham County Council,East of England | London | North East | South East | Yorkshire & The Humber,Regional
St Mungo Community Housing Association,mungos.org,https://www.mungos.org,info@mungos.org,020 3856 6000,Supported living,Asylum housing | Community accommodation | Emergency accommodation | Emergency housing | Housing | Mental health supported accommodation | Supported accommodation | Supported living,yes,8,9,Gloucestershire County Council | London Borough of Camden | London Borough Of Haringey | Bournemouth Borough Council | Bristol City Council,East of England | London | South East | South West,Regional
Voyage 1 Limited,voyagecare.com,https://www.voyagecare.com,referrals@voyagecare.com,0800 035 3776,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,8,10,Essex County Council | Coventry City Council | Solihull Metropolitan Borough Council | Warwickshire County Council | Norfolk County Council,East of England | London | West Midlands | Yorkshire & The Humber,Regional
