company_name,domain,website_url,email,phone,primary_category,sectors,in_network,total_contracts,councils_count,councils_top,regions,tier_hint
A2Care,westminster.gov.uk,https://www.westminster.gov.uk/health-and-social-care,adultsocialcare@westminster.gov.uk,020 7641 6000,Supported living,Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation | Supported living,,2,5,North Northamptonshire Council | Northamptonshire County Council | Nottingham City Council | Westminster City Council | Warwickshire County Council,East Midlands | London | West Midlands,Regional
Abiding,abidingcare.co.uk,https://www.abidingcare.co.uk,info@abidingcare.co.uk,+44 20 3794 9775,Supported living,Asylum housing | Community accommodation | Housing | Supported accommodation | Supported living,,5,7,Tower Hamlets | Brighton & Hove City Council | Cambridgeshire County Council | Peterborough City Council | Hertfordshire County Council  - Adult Care Services,East of England | London | South East,Regional
Ability Care and Support,ability-housing.co.uk,https://www.ability-housing.co.uk,info@ability-housing.co.uk,01784 446 110,Supported living,Floating support | Housing | Mental health | Supported living,,1,1,London Borough of Hillingdon,London,Local
Ability Housing Association,ability-housing.co.uk,https://www.ability-housing.co.uk/,info@ability-housing.co.uk,+44 23 9247 5384,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,2,3,The Royal Borough of Kingston upon Thames | Hampshire County Council | Royal Borough of Kingston Upon Thames,London | South East,Regional
Accedo Care,accedogroup.org.uk,http://www.accedogroup.org.uk/,hello@accedogroup.org.uk,+44 20 3418 8180,Supported living,Homecare | Housing | Supported living,,2,4,London Borough of Barnet Council | In-tend Limited | Hertfordshire County Council | Hertfordshire County Council  - Adult Care Services,East of England | London | National,Regional
Access for Living,accessforliving.org.uk,http://accessforliving.org.uk,info@accessforliving.org.uk,020 8690 1911,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Lewisham,London,Local
Accommodation Plus,premierinn.com,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-enfield.html?cid=GLBC_ENFMTI,,+44 333 777 7927,Emergency accommodation,Emergency accommodation | Emergency housing | Housing,,2,2,London Borough Of Bexley | London Borough of Bexley,London,Local
accomplish group,accomplishgroup.co.uk,https://www.accomplishgroup.co.uk,info@accomplishgroup.co.uk,01978 360050,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,4,5,Luton Council | Solihull MBC (SOL) | Bournemouth Borough Council | Northamptonshire County Council | Tower Hamlets,East Midlands | East of England | London | South West | West Midlands,Regional
Active Prospects,activeprospects.org.uk,http://www.activeprospects.org.uk/,info@activeprospects.org.uk,+44 1737 924084,Supported living,Homecare | Housing | Supported accommodation | Supported living,,3,2,The Royal Borough of Kingston upon Thames | Royal Borough of Kingston Upon Thames,London,Local
Aden Homes,adenhomes.com,https://adenhomes.com/,abbey.manager@woodcaregroup.com,+44 1484 866486,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,2,Essex County Council | London Borough of Waltham Forest,East of England | London,Local
Advance Housing & Support,advanceuk.org,https://www.advanceuk.org,info@advanceuk.org,01993 772886,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,5,17,Luton Council | Leicester City Council | Ealing | Borough of Poole | Bournemouth Borough Council,East Midlands | East of England | London | National | South East | South West | West Midlands,Regional
Affinia Healthcare Limited,affiniahealthcareltd.co.uk,http://affiniahealthcareltd.co.uk/,,+44 1708 930142,Supported accommodation,Community accommodation | Housing | Supported accommodation,,1,1,London Borough of Havering,London,Local
Alwdo Assist,alwdoassist.co.uk,https://alwdoassist.co.uk/,info@alwdoassist.co.uk,+44 20 3441 7007,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,The Royal Borough of Kingston upon Thames | Royal Borough of Kingston Upon Thames,London,Local
AmberGreen Health and Social Care Ltd,ambergreencare.co.uk,http://www.ambergreencare.co.uk/,info@ambergreencare.co.uk,+44 1582 283093,Supported living,Homecare | Housing | Supported accommodation | Supported living,,1,2,Luton Council | Ealing,East of England | London,Local
Ambient Support Limited,ambient.org.uk,https://www.ambient.org.uk/services/devonshire-avenue,AMBIENTSUPPORTLIMITED@BTGUK.COM,+44 20 8313 9725,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,2,2,Leicester City Council | London Borough of Bromley,East Midlands | London,Regional
AMBITIONZ Ltd,ambitionbs.com,https://www.ambitionbs.com/,event@ambitionbs.com,+44 1449 771176,Supported living,Housing | Supported living,,1,1,London Borough of Sutton,London,Local
Angel Housing,angelsupportuk.co.uk,https://angelsupportuk.co.uk,admin@angelsupport.co.uk,020 8533 2372,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
angels abode,abode.ltd.uk,http://www.abode.ltd.uk/site/go/contactUs,,,Emergency accommodation,Emergency accommodation | Emergency housing | Housing,,1,1,London Borough Of Bexley,London,Local
Anytime Homes,anytimeconstruction.co.uk,https://www.anytimeconstruction.co.uk/,info@anytimeconstruction.co.uk,+44 7842 892982,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,2,Peterborough City Council | Merton,East of England | London,Local
Arthur Morrison Ltd,amcs.ltd,https://www.amcs.ltd/,Info@amcareservices.co.uk,+44 20 3837 4954,Supported living,Homecare | Housing | Supported living,,3,2,London Borough of Havering | Milton Keynes Council,London | South East,Regional
Aspiration Care,aspirationscare.com,https://aspirationscare.com,info@aspirationscare.com,01452 399 190,Supported living,Housing | Supported accommodation | Supported living,,1,1,Ealing,London,Local
Assured Living Care Services,assuredlivingservices.co.uk,https://assuredlivingservices.co.uk,info@assuredlivingservices.co.uk,01322 386 022,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
Atlantic Lodge,atlantic-housing.com,http://www.atlantic-housing.com/,tas@atlantic-housing.com,,Supported living,Asylum housing | Housing | Supported accommodation | Supported living,,1,2,Tower Hamlets | London Borough of Waltham Forest,London,Local
Atlantic Lodge Housing,atlantic-housing.com,https://www.atlantic-housing.com,info@atlantic-housing.com,020 8501 7777,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Aurora Options,auroraoptions.org.uk,https://www.auroraoptions.org.uk,info@auroraoptions.org.uk,020 7237 1055,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Lewisham,London,Local
Autism Sussex,amazesussex.org.uk,https://amazesussex.org.uk/conditions-concerns/autism/,enquiries@aspens.org.uk,+44 1424 819366,Supported living,Housing | Supported living,,1,1,London Borough of Barnet Council,London,Local
