company_name,domain,website_url,email,phone,primary_category,sectors,in_network,total_contracts,councils_count,councils_top,regions,tier_hint
A2Care,westminster.gov.uk,https://www.westminster.gov.uk/health-and-social-care,adultsocialcare@westminster.gov.uk,020 7641 6000,Supported living,Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation | Supported living,,2,5,North Northamptonshire Council | Northamptonshire County Council | Nottingham City Council | Westminster City Council | Warwickshire County Council,East Midlands | London | West Midlands,Regional
Abiding,abidingcare.co.uk,https://www.abidingcare.co.uk,info@abidingcare.co.uk,+44 20 3794 9775,Supported living,Asylum housing | Community accommodation | Housing | Supported accommodation | Supported living,,5,7,Tower Hamlets | Brighton & Hove City Council | Cambridgeshire County Council | Peterborough City Council | Hertfordshire County Council  - Adult Care Services,East of England | London | South East,Regional
Ability Care and Support,ability-housing.co.uk,https://www.ability-housing.co.uk,info@ability-housing.co.uk,01784 446 110,Supported living,Floating support | Housing | Mental health | Supported living,,1,1,London Borough of Hillingdon,London,Local
Access for Living,accessforliving.org.uk,http://accessforliving.org.uk,info@accessforliving.org.uk,020 8690 1911,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Lewisham,London,Local
Aden Homes,adenhomes.com,https://adenhomes.com/,abbey.manager@woodcaregroup.com,+44 1484 866486,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,2,Essex County Council | London Borough of Waltham Forest,East of England | London,Local
Adullam Homes Housing Association,adullam.org.uk,https://www.adullam.org.uk,info@adullam.org.uk,0121 236 3344,Supported living,Asylum housing | Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation | Supported living,yes,5,8,Bolton Council | Leicestershire County Council | Lincolnshire County Council | Cambridgeshire County Council | Norfolk County Council,East Midlands | East of England | North West | West Midlands,Regional
Alwdo Assist,alwdoassist.co.uk,https://alwdoassist.co.uk/,info@alwdoassist.co.uk,+44 20 3441 7007,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,The Royal Borough of Kingston upon Thames | Royal Borough of Kingston Upon Thames,London,Local
Angel Housing,angelsupportuk.co.uk,https://angelsupportuk.co.uk,admin@angelsupport.co.uk,020 8533 2372,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
Anytime Homes,anytimeconstruction.co.uk,https://www.anytimeconstruction.co.uk/,info@anytimeconstruction.co.uk,+44 7842 892982,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,2,Peterborough City Council | Merton,East of England | London,Local
Aspiration Care,aspirationscare.com,https://aspirationscare.com,info@aspirationscare.com,01452 399 190,Supported living,Housing | Supported accommodation | Supported living,,1,1,Ealing,London,Local
Assured Living Care Services,assuredlivingservices.co.uk,https://assuredlivingservices.co.uk,info@assuredlivingservices.co.uk,01322 386 022,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
Atlantic Lodge Housing,atlantic-housing.com,https://www.atlantic-housing.com,info@atlantic-housing.com,020 8501 7777,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Aurora Options,auroraoptions.org.uk,https://www.auroraoptions.org.uk,info@auroraoptions.org.uk,020 7237 1055,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Lewisham,London,Local
Barmat Healthcare,barmathealthcare.co.uk,https://barmathealthcare.co.uk,info@barmathealthcare.co.uk,020 8214 1170,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Beckford Homes,beckfordhomesltd.com,https://www.beckfordhomesltd.com,management.beckfordhomes@gmail.com,,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
Best Choice Global,bestchoiceglobal.co.uk,https://bestchoiceglobal.co.uk,info@bestchoiceglobal.co.uk,0203 7457072,Supported living,Housing | Supported accommodation | Supported living,,1,1,Ealing,London,Local
Better Oasis,betteroasis.co.uk,https://betteroasis.co.uk,info@betteroasis.co.uk,,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
Bluoak Housing & Healthcare Consultancy,bluoakhealthcare.co.uk,https://www.bluoakhealthcare.co.uk,info@bluoakhealthcare.co.uk,023 8000 0000,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
Brightsky Youth Services,brightskyyouthservices.co.uk,http://brightskyyouthservices.co.uk/,info@brightskyyouthservices.co.uk,+44 121 454 3644,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,3,Herefordshire Council | Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
Cambridge Care,merton.gov.uk,https://www.merton.gov.uk/adult-social-care,adult.socialcare@merton.gov.uk,020 8545 4218,Supported living,Housing | Supported accommodation | Supported living,,1,1,Merton,London,Local
Cambridge Housing Society,chsgroup.org.uk,http://www.chsgroup.org.uk/,enquiries@chsgroup.org.uk,+44 300 111 3555,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,2,Peterborough City Council | Merton,East of England | London,Local
Camden Society London Thera Trust,thecamdensociety.co.uk,https://www.thecamdensociety.co.uk,info@thecamdensociety.co.uk,020 7281 1888,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Lewisham,London,Local
Capital Letters,capitalletters.org.uk,https://capitalletters.org.uk,info@capitalletters.org.uk,020 3950 4640,Emergency accommodation,Emergency accommodation | Homelessness | Housing | Temporary accommodation,,1,27,London Borough of Barnet Council | London Borough of Brent | London Borough of Camden | London Borough of Croydon | London Borough of Ealing,London,Local
Capworth House,walthamforest.gov.uk,https://www.walthamforest.gov.uk/adults-and-health,asc@walthamforest.gov.uk,020 8496 3000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Care Solutions Group,care-solutionsgroup.com,http://www.care-solutionsgroup.com/,info@trustcaresolutions.co.uk,+44 20 3131 0104,Supported living,Community accommodation | Emergency accommodation | Homecare | Housing | Supported accommodation | Supported living,,6,4,Cambridgeshire County Council | Luton Council | Northamptonshire County Council | Ealing,East Midlands | East of England | London,Regional
Carebridge Healthcare,carebridgelimited.co.uk,https://carebridgelimited.co.uk,info@carebridgelimited.co.uk,07861 701164,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
