priority,name,scope,contracts,website,status,verdict,reason
1,Gb Healthcare Group Ltd,Local,1,https://www.gbhealthcare.co.uk/pages/contact-gb-healthcare,pending,,
2,Q Care Ltd,Local,1,https://qcare.co.uk/sw-home-page/,pending,,
3,Forever Care Ltd,Local,1,http://forevercarewalsall.com/,pending,,
4,Sarmey Healthcare Ltd,Local,1,https://www.sarmeyhealthcare.com/,pending,,
5,3D'S Healthcare Services Limited,Local,1,http://www.3dshealthcareservices.co.uk/,pending,,
6,4life healthcare services ltd,Local,1,http://www.4lifehealthcare.co.uk/,pending,,
7,Accept Care Limited,Local,1,https://acceptcare.org.uk/,pending,,
8,Access24 Healthcare Ltd,Local,1,http://access24hms.com/,pending,,
9,Accolade Support and Care ltd,Local,1,http://www.accoladesupport.co.uk/,pending,,
10,Adjuvo Care & Support Limited (Valorum Care Group PLC),Local,1,http://adjuvocare.co.uk/,pending,,
11,Amara Care Ltd,Local,1,https://www.amaracare.co.uk/,pending,,
12,Angel Healthcare professionals ltd,Local,1,http://angelhcp.co.uk/,pending,,
13,Angel and Star Care Services,Local,1,http://angelandstarcareservices.com/,pending,,
14,BWA Health and Care Services Limited,Local,1,https://bwahealth.com/,pending,,
15,Bago Care Limited,Local,1,https://bago-limited.co.uk/,pending,,
16,Beech Tree Domiciliary Limited,Local,1,http://www.beechtreetotalcare.co.uk/,pending,,
17,Blue Lotus Healthcare Ltd,Local,1,https://bluelotushealthcare.co.uk/contact-us/,pending,,
18,Blue Swan Health Care Limited,Local,1,http://blueswancare.co.uk/,pending,,
19,Braintree Healthcare Limited,Local,1,http://braintree.com/,pending,,
20,Cristal Healthcare Services Ltd,Local,1,http://cristalhealthcare.uk/,pending,,
21,Careful Care Limited,Local,1,http://www.carefulcareltd.co.uk/,pending,,
22,Caritas Care Solutions,Local,1,http://www.caritascaresolutions.uk/,pending,,
23,Carlton Care Group,Local,1,https://carltoncare-group.com/,pending,,
24,City & County Care Services Limited t/a Aspire UK,Local,1,https://aspireuk.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,pending,,
25,Dkm Healthcare Limited,Local,1,http://www.dkmhealthcare.com/,pending,,
26,Dependable Healthcare,Local,1,http://www.dependablehomecareservices.co.uk/,pending,,
27,Diamond Unique Care Limited,Local,1,http://www.diamond-uniquecare.com/,pending,,
28,Ellie Sunrise Healthcare Ltd,Local,1,https://www.elliesunrisehealthcare.com/,pending,,
29,Eden Country Care Limited,Local,1,http://www.edencountrycare.co.uk/,pending,,
30,Engage Care Services,Local,1,https://engagecareservices.co.uk/,pending,,
31,Excellence Care Ltd,Local,1,http://excellence-care.co.uk/,pending,,
32,Focal Care Ltd,Local,1,http://www.carefocal.co.uk/,pending,,
33,First Option Healthcare Ltd,Local,1,http://firstoptionhc.com/,pending,,
34,Global Support and Care Ltd,Local,1,https://globalsupportandcare.co.uk/contact-us/,pending,,
35,Great Prospects care ltd,Local,1,http://www.greatprospectscare.co.uk/,pending,,
