name,current_website,current_phone,current_email,current_address,contracts,scope,status,step1_url_owner,step2_real_url,step3_services,step4_email,step4_phone,step4_contact,verdict,notes
Creative Support,https://www.creativesupport.co.uk,0161 236 0829,housing.complaints@creativesupport.co.uk,,52,National,pending,,,,,,,,
Royal Mencap Society,https://www.mencap.org.uk,020 7454 0454,information@mencap.org.uk,,46,National,pending,,,,,,,,
Lifeways Community Care,https://www.lifeways.co.uk,0207 202 6300,LWSreferrals@Lifeways.co.uk,,40,National,pending,,,,,,,,
Home Group,https://www.homegroup.org.uk,0345 141 4663,procurement@homegroup.org.uk,,30,National,pending,,,,,,,,
Affinity Trust,https://www.affinitytrust.org,01844 267816,info@affinitytrust.org,,29,National,pending,,,,,,,,
Caretech,https://www.caretech-uk.com,01707 601800,info@caretech-uk.com,,1,Local,pending,,,,,,,,
People Potential Possibilities,https://www.p3charity.org,0115 970 3581,info@p3charity.org,,10,National,pending,,,,,,,,
Dimensions,https://www.dimensions-uk.org,0300 303 9001,enquiries@dimensions-uk.org,,28,National,pending,,,,,,,,
Thera Trust,https://www.thera.co.uk,01476 591936,enquiries@thera.co.uk,,13,National,pending,,,,,,,,
Choice Support,https://www.choicesupport.org.uk,020 7378 6161,info@choicesupport.org.uk,,14,Regional,pending,,,,,,,,
The Riverside Group,https://www.riverside.org.uk,0345 111 0000,development@riverside.org.uk,,17,National,pending,,,,,,,,
Richmond Fellowship,https://www.richmondfellowship.org.uk,020 8748 4747,enquiries@richmondfellowship.org.uk,,10,National,pending,,,,,,,,
St Mungo Community Housing Association,https://www.mungos.org,020 3856 6000,info@mungos.org,,9,Regional,pending,,,,,,,,
Voyage 1 Limited,https://www.voyagecare.com,0800 035 3776,referrals@voyagecare.com,,13,Regional,pending,,,,,,,,
Key2 Futures Limited,https://www.key2.org.uk,01296 482001,info@key2.org.uk,,14,Regional,pending,,,,,,,,
The Cyrenians (T/A Changing Lives),https://www.changing-lives.org.uk,0191 273 8891,info@changing-lives.org.uk,,1,Local,pending,,,,,,,,
Turning Point,https://www.turning-point.co.uk,020 7481 7600,housing@turning-point.co.uk,,32,National,pending,,,,,,,,
Real Life Options,https://www.reallifeoptions.org,01924 763000,info@reallifeoptions.org,,10,Regional,pending,,,,,,,,
Voyage Care,https://www.voyagecare.com,0800 035 3776,referrals@voyagecare.com,,9,National,pending,,,,,,,,
Caring for Communities and People,https://www.ccp.uk.net,01242 517717,info@ccp.uk.net,,6,Regional,pending,,,,,,,,
SAFE HAVEN ACCOMMODATION LTD,https://safehaven-group.co.uk/,0113 288 8110,info@safehavenaccommodation.co.uk,,6,Regional,pending,,,,,,,,
FitzRoy Support,https://www.fitzroy.org,01962 844708,info@fitzroy.org,,8,Regional,pending,,,,,,,,
Hft,https://www.hft.org.uk,0117 906 1699,hello@hft.org.uk,,7,Regional,pending,,,,,,,,
Sense,https://www.sense.org.uk,0300 330 9256,enquiries@sense.org.uk,,10,Regional,pending,,,,,,,,
Depaul UK,https://www.depauluk.org,020 7939 1220,info@depauluk.org,,7,Regional,pending,,,,,,,,
The Salvation Army,https://www.salvationarmyhomes.org.uk,0333 010 4726,allocations@salvationarmyhomes.org.uk,,6,Regional,pending,,,,,,,,
Adullam Homes Housing Association,https://www.adullam.org.uk,0121 236 3344,info@adullam.org.uk,,8,Regional,pending,,,,,,,,
